Bulk generating: target=50 template=referral_a model=qwen3.5:latest seed=0 split=train
  [1/50] ok 70.2s (fail=0, eta=57min)
  [2/50] ok 29.0s (fail=0, eta=40min)
  [3/50] ok 28.9s (fail=0, eta=33min)
  [4/50] ok 25.0s (fail=0, eta=29min)
  [5/50] ok 43.4s (fail=0, eta=29min)
  [6/50] ok 72.5s (fail=0, eta=33min)
  [7/50] ok 55.7s (fail=0, eta=33min)
  [8/50] ok 156.4s (fail=0, eta=42min)
  [9/50] ok 51.8s (fail=0, eta=40min)
  [10/50] ok 38.1s (fail=0, eta=38min)
  [11/50] ok 30.5s (fail=0, eta=36min)
  [12/50] ok 24.6s (fail=0, eta=33min)
  [13/50] ok 34.3s (fail=0, eta=31min)
  [14/50] ok 33.6s (fail=0, eta=30min)
  [15/50] ok 24.9s (fail=0, eta=28min)
  [16/50] ok 83.0s (fail=0, eta=28min)
  [17/50] ok 53.1s (fail=0, eta=28min)
  [18/50] ok 25.8s (fail=0, eta=26min)
  [19/50] ok 27.6s (fail=0, eta=25min)
  [20/50] ok 41.3s (fail=0, eta=24min)
  [21/50] ok 32.4s (fail=0, eta=23min)
  [22/50] ok 94.9s (fail=0, eta=23min)
  [22/50] FAIL ungrounded_span: not in transcript: 'lower back... trouble walking... numbness in your left leg' (98.4s, fail=1)
  [23/50] ok 126.3s (fail=1, eta=25min)
  [24/50] ok 29.0s (fail=1, eta=24min)
  [25/50] ok 27.4s (fail=1, eta=23min)
  [26/50] ok 61.8s (fail=1, eta=22min)
  [27/50] ok 35.6s (fail=1, eta=21min)
  [28/50] ok 72.8s (fail=1, eta=20min)
  [29/50] ok 31.5s (fail=1, eta=19min)
  [29/50] FAIL ungrounded_span: not in transcript: 'want to refer to Gastroenterology for assessment\nand maybe some dietary advic...' (95.9s, fail=2)
  [30/50] ok 57.1s (fail=2, eta=19min)
  [31/50] ok 37.8s (fail=2, eta=18min)
  [32/50] ok 22.5s (fail=2, eta=17min)
  [33/50] ok 23.7s (fail=2, eta=15min)
  [34/50] ok 53.2s (fail=2, eta=15min)
  [35/50] ok 30.3s (fail=2, eta=13min)
  [35/50] FAIL ungrounded_span: not in transcript: 'complaining of persistent lower back pain radiating down his left leg' (131.5s, fail=3)
  [35/50] FAIL schema: patient malformed (90.9s, fail=4)
  [36/50] ok 25.7s (fail=4, eta=14min)
  [37/50] ok 27.3s (fail=4, eta=13min)
  [38/50] ok 27.2s (fail=4, eta=11min)
  [39/50] ok 27.5s (fail=4, eta=10min)
  [40/50] ok 22.9s (fail=4, eta=9min)
  [41/50] ok 59.5s (fail=4, eta=8min)
  [42/50] ok 56.9s (fail=4, eta=7min)
  [43/50] ok 30.4s (fail=4, eta=6min)
  [44/50] ok 27.3s (fail=4, eta=5min)
  [44/50] FAIL ungrounded_span: not in transcript: 'you are presenting with knee pain specifically pain in your right knee it sta...' (108.2s, fail=5)
  [45/50] ok 30.9s (fail=5, eta=5min)
  [46/50] ok 23.2s (fail=5, eta=4min)
  [47/50] ok 62.6s (fail=5, eta=3min)
  [48/50] ok 29.8s (fail=5, eta=2min)
  [49/50] ok 33.5s (fail=5, eta=1min)
  [50/50] ok 99.1s (fail=5, eta=0min)

Done. 50/50 valid, 5 discarded. Output: data/qwen3.5_latest/train.referral_a.jsonl
