Bulk generating: target=50 template=soap model=qwen3.5:latest seed=0 split=train
  [1/50] ok 88.9s (fail=0, eta=73min)
  [2/50] ok 27.8s (fail=0, eta=47min)
  [3/50] ok 36.9s (fail=0, eta=40min)
  [4/50] ok 93.0s (fail=0, eta=47min)
  [5/50] ok 162.3s (fail=0, eta=61min)
  [6/50] ok 39.9s (fail=0, eta=55min)
  [7/50] ok 33.9s (fail=0, eta=49min)
  [8/50] ok 173.3s (fail=0, eta=57min)
  [9/50] ok 80.8s (fail=0, eta=56min)
  [10/50] ok 37.1s (fail=0, eta=52min)
  [11/50] ok 32.4s (fail=0, eta=48min)
  [12/50] ok 81.2s (fail=0, eta=47min)
  [13/50] ok 48.1s (fail=0, eta=44min)
  [14/50] ok 36.9s (fail=0, eta=42min)
  [15/50] ok 80.3s (fail=0, eta=41min)
  [16/50] ok 104.2s (fail=0, eta=41min)
  [17/50] ok 44.0s (fail=0, eta=39min)
  [18/50] ok 66.0s (fail=0, eta=38min)
  [19/50] ok 35.0s (fail=0, eta=35min)
  [20/50] ok 111.7s (fail=0, eta=35min)
  [20/50] FAIL ungrounded_span: not in transcript: "my knee's been killing me for about two weeks now\nthe left knee, mainly when ..." (163.9s, fail=1)
  [21/50] ok 38.1s (fail=1, eta=37min)
  [22/50] ok 145.7s (fail=1, eta=37min)
  [23/50] ok 110.1s (fail=1, eta=37min)
  [24/50] ok 38.9s (fail=1, eta=34min)
  [25/50] ok 98.0s (fail=1, eta=33min)
  [26/50] ok 38.1s (fail=1, eta=31min)
  [27/50] ok 47.7s (fail=1, eta=30min)
  [28/50] ok 33.7s (fail=1, eta=28min)
  [29/50] ok 33.9s (fail=1, eta=26min)
  [30/50] ok 78.1s (fail=1, eta=25min)
  [31/50] ok 65.2s (fail=1, eta=24min)
  [32/50] ok 34.5s (fail=1, eta=22min)
  [33/50] ok 27.3s (fail=1, eta=20min)
  [34/50] ok 47.7s (fail=1, eta=19min)
  [35/50] ok 33.7s (fail=1, eta=17min)
  [36/50] ok 77.2s (fail=1, eta=16min)
  [36/50] FAIL ungrounded_span: not in transcript: 'all over the head actually, worst behind the eyes like really throbbing\nPatie...' (134.9s, fail=2)
  [36/50] FAIL schema: objective.exam malformed (121.2s, fail=3)
  [37/50] ok 32.1s (fail=3, eta=16min)
  [38/50] ok 101.4s (fail=3, eta=15min)
  [39/50] ok 76.2s (fail=3, eta=14min)
  [40/50] ok 35.4s (fail=3, eta=13min)
  [41/50] ok 33.0s (fail=3, eta=11min)
  [42/50] ok 37.4s (fail=3, eta=10min)
  [43/50] ok 37.2s (fail=3, eta=9min)
  [44/50] ok 37.2s (fail=3, eta=7min)
  [45/50] ok 72.7s (fail=3, eta=6min)
  [46/50] ok 85.9s (fail=3, eta=5min)
  [47/50] ok 34.5s (fail=3, eta=4min)
  [48/50] ok 72.0s (fail=3, eta=2min)
  [49/50] ok 69.8s (fail=3, eta=1min)
  [50/50] ok 45.4s (fail=3, eta=0min)

Done. 50/50 valid, 3 discarded. Output: data/qwen3.5_latest/train.soap.jsonl
